UTM33_X,UTM33_Y,exposed_bedr
208536,6642290,0
208536,6642315,0
208536,6642340,0
208536,6642365,0
208536,6642390,0
208536,6642415,0
208536,6642440,0
208536,6642465,1
208536,6642490,1
208536,6642515,1
208536,6642540,1
208536,6642565,1
208536,6642590,1
208536,6642615,1
208536,6642640,1
208536,6642665,1
208536,6642690,1
208536,6642715,1
208536,6642740,1
208536,6642765,1
208536,6642790,1
208536,6642815,1
208536,6642840,1
208536,6642865,1
208536,6642890,1
208536,6642915,1
208536,6642940,1
208536,6642965,1
208536,6642990,1
208536,6643015,1
208536,6643040,1
208536,6643065,1
208536,6643090,1
208536,6643115,1
208536,6643140,1
208536,6643165,1
208536,6643190,1
208536,6643215,1
208536,6643240,1
208536,6643265,0
208536,6643290,0
208536,6643315,1
208536,6643340,1
208536,6643365,1
208536,6643390,1
208536,6643415,1
208536,6643440,1
208536,6643465,1
208536,6643490,1
208536,6643515,1
208536,6643540,1
208536,6643565,1
208536,6643590,1
208536,6643615,1
208536,6643640,1
208536,6643665,1
208536,6643690,1
208536,6643715,1
208536,6643740,1
208536,6643765,1
208536,6643790,1
208536,6643815,1
208536,6643840,1
208536,6643865,1
208536,6643890,1
208536,6643915,1
208536,6643940,1
208536,6643965,1
208536,6643990,1
208536,6644015,1
208536,6644040,1
208536,6644065,1
208536,6644090,1
208536,6644115,1
208536,6644140,1
208536,6644165,1
208536,6644190,1
208536,6644215,1
208536,6644240,1
208536,6644265,1
208536,6644290,1
208536,6644315,1
208536,6644340,1
208536,6644365,1
208536,6644390,1
208536,6644415,1
208536,6644440,1
208536,6644465,1
208536,6644490,1
208536,6644515,1
208536,6644540,1
208536,6644565,1
208536,6644590,1
208536,6644615,1
208536,6644640,1
208536,6644665,1
208536,6644690,1
208536,6644715,1
208536,6644740,1
208536,6644765,1
208536,6644790,1
208536,6644815,1
208536,6644840,1
208536,6644865,1
208536,6644890,1
208536,6644915,1
208536,6644940,1
208536,6644965,1
208536,6644990,1
208536,6645015,1
208536,6645040,1
208536,6645065,1
208536,6645090,1
208536,6645115,1
208536,6645140,1
208536,6645165,1
208536,6645190,1
208536,6645215,1
208536,6645240,1
208536,6645265,1
208536,6645290,1
208536,6645315,1
208536,6645340,1
208536,6645365,1
208536,6645390,1
208536,6645415,1
208536,6645440,1
208536,6645465,1
208536,6645490,1
208536,6645515,1
208536,6645540,1
208536,6645565,1
208536,6645590,1
208536,6645615,1
208536,6645640,1
208536,6645665,1
208561,6636490,1
208561,6636515,1
208561,6636540,1
208561,6636565,1
208561,6636590,1
208561,6636615,1
208561,6636640,1
208561,6636665,1
208561,6636690,1
208561,6636715,1
208561,6636740,1
208561,6636765,1
208561,6636790,1
208561,6636815,1
208561,6636840,0
208561,6636865,0
208561,6636890,0
208561,6636915,1
208561,6636940,1
208561,6636965,1
208561,6636990,1
208561,6637015,0
208561,6637040,0
208561,6637065,0
208561,6637090,0
208561,6637115,1
208561,6637140,0
208561,6637165,0
208561,6637190,0
208561,6637215,0
208561,6637240,0
208561,6637265,0
208561,6637290,0
208561,6637315,0
208561,6637340,0
208561,6637365,0
208561,6637390,0
208561,6637415,0
208561,6637440,0
208561,6637465,0
208561,6637490,0
208561,6637515,1
208561,6637540,1
208561,6637565,1
208561,6637590,1
208561,6637615,1
208561,6637640,1
208561,6637665,1
208561,6637690,1
208561,6637715,1
208561,6637740,1
